Contact with Others,How long were you with him/her?,Berapa lama anda bertemu dengan orang tersebut?,আপনাদের দেখাসাক্ষাত কতক্ষন ধরে ছিল?,အချိန် မည်မျှကြာမြင်.စွာထိုသူနှင်.အတူတကွရှိ ခဲ.ပါသလဲ။,Колко време бяхте заедно?,你跟他们见面多久？,您與病人接觸的時間有多久?,Gaano katagal mo silang nakasama?,Depuis combien de temps étiez-vous avec lui / elle ?,その人とどのくらい接触しましたか？,តើអ្នកនៅជាមួយគាត់បានរយៈពេលបុ៉ន្មាន ?,Wie waren Sie lange mit ihm / ihr?,એમની સાથે કેટલો સમય વિતાવ્યો હતો?,,כַּמָּה זְמַן שָׁהִיתָ/שָׁהִית בִּמְחִיצָּתוֹ/ה?,,आप  उनके साथ कितने  देर तक थे ?,Da quanto tempo sei stato con lui / lei?,저사람들과 얼마동안 같이 있었습니까?,Berapa lama kamu bersama dia/mereka?,ທ່ານໄດ້ຢູ່ນຳລາວດົນປານໃດ?,,तुम्ही त्यांच्याबरोबर किती वेळ होता?. ,कति दिनसम्म तपाइले त्यो मानिससंग भेट्नु भयो?,ਤੁਸੀਂ ਉਸ ਨਾਲ ਕਿੰਨਾ ਸਮਾਂ ਬਿਤਾਇਆ?,Quanto tempo você ficou com ele / ela?,Сколько времени вы проводили с ним / ней?,,Cuánto tiempo estuviste con él/ella?,,நீங்கள் தங்கியிருக்கும் இடம் (டோர்ம்) பெயர் என்ன?,మీరు కలిసిన వారితో ఎంతకాలం ఉన్నారు?,คุณอยู่กับผู้ติดเชื้อโคโรน่านานเท่าใด,Ne zamandır onunla / onunla neredeydiniz?,Anh/ chị gặp người ấy trong bao lâu?,
Contact with Others,"In the last 14 days, did you travel out of this country? If yes, tell us the countries in English.","Dalam 14 hari terakhir, apakah anda bepergian keluar dari Singapura? Jika ya, sebutkan nama-nama negaranya dalam bahasa Inggris.","গত ১৪ দিনে, আপনি কি সিঙ্গাপুরের বাইরে ভ্রমণ করেছেন? হয়ে থাকলে আমাকে ইংরেজীতে দেশগুলি বলেন।",လွန်ခဲ.‌သော ၁၄ရက်အတွင်း စင်ကာပူနိုင်ငံပြင်ပသို. ခရီးသွားခဲ.ခြင်းရှိပါသလား။ သွားလာခဲ.ပါက သွားခဲ.‌ေသော နိုင်ငံများကိုအင်ဂလိပ်လိုဖေါ််််််ပြပေးပါ။,"За последните 14 дни пътували ли сте извън Сингапур? Ако да, кажете ни имената на държавите на английски.",过去十四天你有离开新加坡吗？你去哪个国家（英文）？,"在過去的十四天內,您是否出過國/從其他國家來到新加坡?如果有的話, 請問您去了哪些國家呢?    ",Gaano katagal mo silang nakasama?,"Au cours de ces 14 derniers jours, avez-vous voyagé hors de ce pays ? Si oui, dites-nous les pays en anglais.",過去14日間に海外に渡航したことがありますか？ある場合、渡航先を英語で教えてください。,ក្នុងរយៈពេល​ ១៤​ ថ្ងៃចុងក្រោយ តើអ្នកបានធ្វើរដំណើរចេញពីប្រទេសនេះដែរទេ? បើមានសូមប្រាប់យើងពីបណ្តាប្រទេសជាភាសាអង់គ្លេស។,"In den letzten 14 Tagen haben Sie Ihre Reise dieses Landes aus? Wenn ja, sagen Sie uns die Länder in englischer Sprache.","છેલ્લા 14 દિવસોમાં, તમે સિંગાપુરથી બહાર કોઈ અન્ય દેશમાં હતા? જો આમ હોય, તો એ જગ્યાઓ ના ઇંગલિશમાં નામ કહો.",,"הַאִם בִּיקַּרְתָּ/בִּיקַּרְתּ בְּחוּ""ל בַּשְּׁבוּעַיִים הָאַחֲרוֹנִים? אִם כֵּן תֹּאמַר/תֹּאמְרִי לִי בְּאִילּוּ מְדִינוֹת בְּאַנְגְּלִית.",,"पिछले 14 दिनों में, क्या आप सिंगापुर से  कोई  और देश में  गए थे  ? यदि हां, तो हमें अंग्रेजी में उन देशों का नाम बताइये | ","Negli ultimi 14 giorni, hai viaggio di Singapore? Se sì, ci dicono i paesi in inglese.",그분들과 얼마동안 같이 있어습니까?,"Sepanjang 2 minggu lepas, adakah kamu keluar dari Singapura atau tidak? Kalau kamu telah keluar dari Singapura, tolong memberitahu kami nama-nama negara tersebut dalam Bahasa Inggeris.","ພາຍໃນ 14 ມື້ມານີ້, ທ່ານໄດ້ເດີນທາງອອກນອກປະເທດບໍ? ຖ້າໄດ້ເດີນທາງ, ກະລຸນາແຈ້ງບັນດາປະເທດເຫຼົ່ານັ້ນໃຫ້ພວກເຮົາຮັບຊາບເປັນພາສາອັງກິດ",,मागील १४ दिवसात तुम्ही देशाबाहेर गेला होता का?.  जर गेला असाल तर इंग्रजीमधून त्या देशांची नावे सांगा. ,"बिगत १४ दिनमा, तपाइँ  सिंगापुर बाट बाहिर  भ्रमण गर्न जानु भएको छ ? हो भने, देशहरु  को नाम अंग्रेजी मा भन्नुस. ","ਪਿਛਲੇ 14 ਦਿਨਾਂ ਵਿੱਚ, ਕੀ ਤੁਸੀਂ ਸਿੰਗਾਪੁਰ ਤੋਂ ਬਾਹਰ ਯਾਤਰਾ ਕੀਤੀ? ਜੇ ਹਾਂ, ਤਾਂ ਅੰਗ੍ਰੇਜ਼ੀ ਵਿਚ ਦੇਸ਼ਾਂ ਦਾ ਨਾਮ ਦੱਸੋ.","Nos últimos 14 dias, você viajar para fora de Singapura? Se sim, conte-nos países em Inglês.","В течение последних 14 дней, вы выезжали из Сингапура? Если да, скажите по-английский, в какие страны.",,Has salido de este país en los últimos 14 días? Dinos los nombres de los países en inglés,,நீங்கள் தங்கியிருக்கும் இடம் (டோர்ம்) கொரோனா கிருமித்தொற்று குழுமமாக (அதாவது கிலஸ்டராக) அறிவிக்கப்பட்டுள்ளதா?,"గత 14 రోజుల్లో, మీరు సింగపూర్ నుండి ప్రయాణించారా? అవును అయితే, దేశాలను ఆంగ్లంలో చెప్పండి.",ในช่วง 14 วันที่ผ่านมาคุณได้เดินทางออกจากประเทศสิงคโปร์หรือไม่ หากใช่ ให้ระบุชื่อประเทศเป็นภาษาอังกฤษ,"Son 14 gün içinde, Singapur dışına seyahat oldu? evet, bize İngilizce olarak ülkeleri söyle.","Trong vòng 14 ngày qua, anh/ chị có rời khỏi Singapore không? Nếu có, hãy cho chúng tôi biết tên đất nước đó bằng tiếng Anh.",
Symptoms,Do you have a fever?,Apakah anda demam?,আমি ডাক্তার। আমি বাংলা বলতে পারি না। আমি আপনার সাথে এই ওয়েবসাইটের মাধ্যমে কথা বলব। যত সম্ভব তত আমাকে ইংরেজীতে উত্তর দেন।​ ধন্যবাদ।,အဖျားရှိပါသလား။,Имате ли треска?,你有发烧吗？,您目前有沒有發燒呢?,"Sa nakaraang labing-apat na araw, ikaw ba ay bumiyahe palabas ng bansa? Kung oo, sabihin mo sa amin sa wikang Ingles ang mga bansang pinuntahan mo.",Avez-vous de la fièvre ?,熱はありますか？,"តើអ្នកមានគ្រុនក្តៅទេ?
",Hast du Fieber?,તમને તાવ છે?,,יֵשׁ לְךָ/לָךְ חוֹם?,,क्या आप को बुखार है?,Hai la febbre?,최근 14일 동안 해외로 나가신적이 있나요? 해외로 나갔다면 국가이름을 영어로 말씀해주세요.,Ada demam tak?,ທ່ານມີໄຂ້ບໍ?,,तुम्हाला आत्ता ताप आहे का?. ,तपाईलाई ज्वोर छ?,ਕੀ ਤੁਹਾਨੂੰ ਬੁਖਾਰ ਹੈ?,Você está com febre?,У вас есть повышенная температура?,,¿Tienes fiebre?,,உங்களுடைய அறையில் உங்களைச் சேர்த்து எத்தனை பேர் தங்கியுள்ளனர்?,మీకు జ్వరం ఉందా?,คุณมีไข้หรือไม่,Ateşin var mı?,Anh/chị có sốt không?,
Symptoms,"How many days?
(You may use this for multiple symptoms)",Berapa hari?,আপনার নাম কি ?,ဘယ်နှရက်ခန်.‌ဖျားနာ‌နေခဲ.ပါသလဲ။ အခြား‌သော‌‌ဝေဒနာများခံစားရပါက ‌ဖေါ်််််ပြ ‌ပေးပါ။,От колко време?,几天了？,發燒多久了/幾天?,Mayroon ka bang lagnat?,Depuis combien de jours ?,何日くらい続いていますか？,"តើមានគ្រុនក្តៅប៉ុន្មានថ្ងៃ?
(អ្នកអាចប្រើវាសម្រាប់រោគសញ្ញាបាន)","Wie viele Tage?
(Sie können dies für mehrere Symptome verwenden)",કેટલા દિવસો થી?,,כַּמָּה יָמִים? (אַתָּה/אַתְּ רַשַּׁאי/רַשָּׁאִית לְהִשְׁתַּמֵּשׁ בָּזֶה בְּקֶשֶׁר לְמִסְפַּר סִימְפְּטוֹמִים).,,कितने दिनों से?,"Quanti giorni?
(È possibile utilizzare questo per sintomi multipli)",열이 있습니까?,Sudah berapa hari?,ມີອາການໄຂ້ໄດ້ຈັກມື້ແລ້ວ? ,,किती दिवसांपासून आहे?.  (तुम्ही लक्षणांच्या माहितीसाठी हे वापरू शकता),कति दिन भयो ज्वोर भएको?,ਕਿੰਨੇ ਦਿਨ?,"Quantos dias?
(Você pode usar isso para múltiplos sintomas)",Сколько дней?,,Por cuánto tiempo has tenido esto?,,அவசர நேரத்தில் தொடர்புக்கொள்ள உங்களுக்கு நெருங்கிய உறவினர் யாராவது உண்டா? அவர்களுடைய தொடர்பு எண் என்ன?,ఎన్ని రోజుల నుంచి?,มีอาการมากี่วันแล้ว,"Kaç gün?
(Birden belirtiler için bunu kullanabilir)",Anh/ chị bị như vậy bao lâu rồi?,
Symptoms,"Did you measure it with a thermometer? If you did, what was the highest reading?","Apakah anda mengukur suhu badan dengan termometer? Jika ya, berapa suhu badan tertinggi anda?",আমাকে আপনার ওয়ার্ক পারমিট দেন।,အဖျားကိုသာမိုမီတာ သုံး၍တိုင်းတာခဲ.ပါသလား။ အမြင်.ဆုံးအပူချိန်ကို ‌ဖေါ်် ပြပေးပါ။,"Мерили ли се си температурата?  Ако да, колко е най-високото число?",你有用温度器量吗？你最高的温度时是什么？,"您有用溫度計測量體溫嗎?如果有的話,您的最高體溫是多少?",Gaano katagal ka nang may lagnat?,"Vous avez pris votre température avec l'aide d'un thermomètre ? Si vous l'avez fait, quelle était la valeur la plus élevée ?",体温計で熱を計りましたか？計った場合、一番高い体温は何度くらいでしたか？,តើអ្នកបានប្រើទែម៉ូម៉ែត្រទេ? ប្រសិនបើអ្នកបានប្រើ តើសីតុណ្ហភាពខ្ពស់បំផុតប៉ុន្មាន,"Haben Sie messen mit einem Thermometer? Wenn ja, was war der höchste Wert?","શું તમે તાવ નું તાપમાન થરમોમીટરથી માપ્યું હતું? જો હા, તો સૌથી વધુ કેટલું હતું?",,"מָדַדְתָּ/מָדַדְתְּ אֶת הַחוֹם בַּמַּדְחוֹם? אִם כֵּן, מֶה הָיְיתָה הַקְּרִיאָה הַגְּבוֹהָה בְּיוֹתֵר?",,"क्या अपने बुखार थर्मामीटर से मापा था ? अगर हाँ, तो मुझे सबसे ज़्यादा वाला ताप बताइये ","Forse lo si misura con un termometro? Se così fosse, qual è stata la lettura più alta?",몇일 동안 증상이 있었나요?,"Ada gunakan termometer atau tak? Jika ya, apakah suhu badan tertinggi?","ທ່ານໄດ້ວັດແທກອຸນຫະພູມຂອງຕົນເອງດ້ວຍບາຫຼອດ ຫຼື ເຄື່ອງແທກອຸນຫະພູມບໍ? ຖ້າທ່ານໄດ້ແທກ, ອຸນນະພູມສູງສຸດທີ່ວັດແທກໄດ້ແມ່ນເທົ່າໃດ?",,तुम्ही तुमचा ताप मोजला आहे का?. मोजला असेल तर सर्वात जास्त ताप किती होता?. ,"थर्मोमीटर ले ज्वोर नाप्नु भएको  छ? यदि छ भने, सबैभन्दा बढी ज्वरो कतिसम्मको आएको छ?","ਕੀ ਤੁਸੀਂ ਇਸ ਨੂੰ ਥਰਮਾਮੀਟਰ ਨਾਲ ਮਾਪਿਆ ਹੈ? ਜੇ ਤੁਸੀਂ ਕੀਤਾ, 
 ਤਾਂ ਸਭ ਤੋਂ ਉੱਚਾ ਕੀ ਸੀ?","Você quis medir com um termômetro? Se você fez, qual foi a maior leitura?","Вы замеряли с помощью градусника? Если да, какой была самая высокая температура?",,La mediste con un termómetro? Cuál fue la máxima temperatura?,,"கடந்த 14 நாட்களில், கொரோனா வைரஸ்-இனால் பாதிக்கப்பட்ட யாருடனாவது நீங்கள் தொடர்பு கொண்டீர்களா?","మీరు టెంపరేచర్ ని థర్మామీటర్‌తో కొలిచారా? మీరు అలా చేస్తే, అత్యధిక టెంపరేచర్ ఎంత ఉంది?",คุณได้ใช้เทอร์โมมิเตอร์/ปรอทวัดไข้หรือไม่ หากใช่ อุณหภูมิสูงสุดที่วัดได้คือเท่าใด,"bunu bir termometre ile ölçülmesi mü? Eğer olsaydı, en yüksek okuma neydi?","Anh/chị đã đo nhiệt độ bằng nhiệt kế chưa? Nếu có, nhiệt độ cao nhất là gì?",
Symptoms,Runny nose?,Pilek?,আপনি কোন কোমপানিতে কাজ করেন?,နှာ‌စေး‌နေပါသလား။,Имате ли хрема?,流鼻涕？,流鼻涕   ,"Nasukat mo ba ang iyong mga temperatura gamit ang thermometer? Kung oo, ano ang pinakamataas mong nakuha na temperatura? ",Nez qui coule ?,鼻水が出ますか？,ហៀរសំបោរ,Laufende Nase?,વહેતું નાક છે?,,יֵשׁ לְךָ/לָךְ נַזֶּלֶת?,,बहती नाक?,Naso che cola?,체온계로 측정하셨나요? 제일 높은 체온이 몇도였어요?,Selsema?,ມີນ້ຳມູກໄຫຼບໍ?,,नाक वाहत आहे का?. ,नाक बगिरहेको छ?,ਕੀ ਜ਼ੁਕਾਮ ਨਾਲ ਤੁਹਾਡੀ ਨੱਕ ਵੱਗ ਰਹੀ ਹੈ?,Coriza?,Насморк?,,Le gotea la nariz?,,எவருடன் தொடர்பு கொண்டீர்கள்? அவர்களுக்கும் உங்களுக்குமான உறவுமுறை என்ன?,మీ ముక్కు కారుతోందా?,มีน้ำมูกหรือไม่,Burun akması?,Có sổ mũi không?,
Symptoms,Cough?,Batuk?,আপনার সুপারভাইজারের নাম এবং ফোন নাম্বার কি?,ချောင်းဆိုးနေပါသလား။,Имате ли кашлица?,咳嗽？,咳嗽,Mayroon ka bang sipon?,La toux ?,咳が出ますか？,ក្អក,Husten?,ઉધરસ છે?,,אַתָּה/אַתְּ מִשְׁתַּעֵל/מִשְׁתַּעֶלֶת?,,खांसी?,Tosse?,콧물이 있으세요?,Batuk?,ມີອາການໄອບໍ?,,खोकला आहे का?. ,खोकी ? ,ਕੀ ਤੁਹਾਨੂੰ ਖੰਘ ਹੈ?,Tosse?,Кашель?,,Tos?,,நீங்கள் எத்தனை நாட்களுக்கு முன்பு அவ்ரகளை சந்தித்தீர்கள்?,మీకు దగ్గు ఉందా?,มีอาการไอหรือไม่,Öksürük?,Có ho không?,
Symptoms,Sore throat?,Sakit tenggorokan?,"ধন্যবাদ, dhonnobad",လည်ပင်းနာ‌နေပါသလား။,Имате ли възпалено гърло?,喉咙痛？,喉嚨痛,Mayroon ka bang ubo?,Mal de gorge ?,喉が痛いですか？,ឈឺបំពង់ករ,Halsentzündung?,ગળું ઘસાઈ છે?,,כּוֹאֵב לְךָ/לָךְ הַגָּרוֹן?,,गले में खरास?,Gola infiammata?,기침을 하시나요?,Sakit tekak?,ເຈັບຄໍບໍ?,,घसा खवखवतो का?. ,घाती दुखेको छ?,ਕੀ ਤੁਹਾਡੇ ਗਲੇ ਚ ਦਰਦ ਹੈ?,Dor de garganta?,Болит горло?,,Garganta irritada?,,எவ்வளவு நேரம் நீங்கள் அவர்களுடன் இருந்தீர்கள்?,మీకు గొంతు నొప్పి ఉందా?,เจ็บคอหรือไม่,Boğaz ağrısı?,Có viêm họng đau họng không?,
Symptoms,Difficulty breathing?,Kesulitan bernafas?,আঙ্গুল দিয়ে দেখান কোথায়।,အသက်ရှူကြပ်‌နေပါသလား။,Имате ли затруднено дишане?,呼吸困难？,呼吸困難,Mayroon ka bang sore throat?,Difficulté à respirer ?,息苦しさはありますか？,ពិបាកដកដង្ហើម,Schwierigkeiten beim Atmen?,શ્વાસ લેવામાં તકલીફ થાય છે ?,,יֵשׁ לְךָ/לָךְ קְשָׁיֵי נְשִׁימָה?,,सांस लेने मे तकलीफ?,Respirazione difficoltosa?,인후염이나 후두염이 있나요?,Sesak nafas?,ຫາຍໃຈບໍ່ສະດວກບໍ?,,श्वास घेण्यास त्रास होतो का?. ,सांस फेर्न गार्हो छ?,ਸਾਹ ਲੈਣ ਵਿੱਚ ਮੁਸ਼ਕਲ?,Dificuldade ao respirar?,Затрудненное дыхание?,,Dificultades para respirar?,,"கடந்த 14 நாட்களில், சிங்கப்பூரை விட்டு வெளிநாட்டிற்கு ஏதேனும் பயணம் செய்தீர்களா? அப்படி பயணம் செய்திருந்தால், நீங்கள் சென்றுவந்த நாடுகளின் பெயர்களை ஆங்கிலத்தில் குறிப்பிடவும்.",మీకు శ్వాస తీసుకోవడంలో ఇబ్బంది ఉందా?,หายใจไม่สะดวกหรือไม่,Zorluk nefes?,Có khó thở không?,
Symptoms,Do you have diarrhoea? How many times a day?,Apakah anda diare? Berapa kali anda buang air dalam satu hari?,আপনার কি আগের থেকে কোনো শারীরিক সমস্যা আছে?,ဝမ်းပျက်နေပါသလား။တစ်ရက်ဘယ်နှကြိမ်သွားပါသလဲ။,Имате ли диария? Колко пъти на ден?,有泻肚子吗？一天几次？,您最近有沒有拉肚子?一天拉幾次?,Sumasakit ba ang iyong lalamunan?,Avez-vous la diarrhée ? Combien de fois par jour ?,下痢がありますか？一日に何回の下痢がありますか？,"តើអ្នកមានរាគទេ? តើមានប៉ុន្មានដងក្នុងមួយថ្ងៃ?
",Haben Sie Durchfall? Wie oft am Tag?,તમને ઝાડા થાય છે? દિવસમાં કેટલી વખત અંદાજે ?,,יֵשׁ לְךָ/לָךְ שִׁלְשׁוּלִים? כַּמָּה פְּעָמִים בְּיוֹם?,,आपको दस्त हैं? क्या आपका पेट झडता है ? दिन में कितनी बार?,Hai la diarrea? Quante volte al giorno?,목이 아프십니까?,Ada cirit-birit tak? Buang air besar berapa kali sehari?,ທ່ານມີອາການຖອກທ້ອງບໍ? ຈັກຄັ້ງຕໍ່ມື້?,,तुमचे पोट बिघडले आहे का?. दिवसातून किती वेळा जावे लागते?. ,झाडा भएको छ? दिनको कति चोटी?,ਕੀ ਤੁਹਾਨੂੰ ਦਸਤ ਹੈ? ਇੱਕ ਦਿਨ ਵਿੱਚ ਕਿੰਨੀ ਵਾਰ?,Você tem diarréia? Quantas vezes por dia?,Есть ли у вас понос? Сколько раз в день?,,Ha tenido diarrea? Cuántas veces al día?,,உங்களுக்கு காய்ச்சல் உள்ளதா?,మీకు విరేచనాలు అవుతున్నాయా? రోజుకు ఎన్నిసార్లు?,มีอาการท้องเสียหรือไม่ และท้องเสียวันละกี่ครั้ง,İshal var mı? Günde kaç defa?,Có tiêu chảy không? Nếu có thì anh/chị đi ngoài bao nhiêu lần 1 ngày?,
